net,length_um
fifo1.mem\[0\]\[6\],16.8
net171,16.78
fifo2.mem\[6\]\[8\],16.765
fifo3.mem\[8\]\[3\],16.76
net90,16.76
fifo1.mem\[11\]\[1\],16.74
regis.internal_parity\[5\],16.74
_0404_,16.725
_0642_,16.72
_1603_,16.72
fifo3.mem\[3\]\[0\],16.72
fifo3.mem\[7\]\[6\],16.7
net198,16.7
_0396_,16.685
fifo3.mem\[8\]\[6\],16.62
fifo3.mem\[3\]\[5\],16.56
fifo1.data_in\[2\],16.54
fifo2.mem\[1\]\[0\],16.52
syn.count1\[5\],16.46
fifo3.mem\[3\]\[3\],16.44
regis.internal_parity\[4\],16.365
_1214_,16.34
fifo2.count\[2\],16.34
net155,16.32
_1768_,16.3
fifo1.mem\[7\]\[4\],16.28
_1190_,16.26
_1925_,16.24
fifo2.mem\[14\]\[2\],16.24
_1791_,16.22
_1643_,16.18
fifo1.mem\[9\]\[0\],16.18
net88,16.18
_1966_,16.15
_1658_,16.14
_1302_,16.1
_0906_,16.08
_1414_,16.08
_2052_,16.08
fifo1.mem\[14\]\[5\],16.06
fifo3.mem\[11\]\[4\],16.06
fifo3.mem\[4\]\[0\],16.02
net219,16.02
_0954_,16
_1348_,15.98
fifo2.mem\[1\]\[7\],15.98
_1082_,15.9
_1306_,15.9
fifo1.mem\[5\]\[0\],15.88
fifo3.mem\[15\]\[6\],15.88
_0237_,15.725
_0358_,15.725
_1368_,15.72
_1696_,15.72
_1918_,15.72
fifo1.mem\[0\]\[0\],15.68
regis.fifo_full_state\[1\],15.68
_1243_,15.66
net138,15.58
_1503_,15.56
_0883_,15.52
_1326_,15.52
net221,15.5
fifo2.mem\[4\]\[1\],15.48
fifo1.mem\[13\]\[1\],15.44
fifo2.wr_pointer\[2\],15.44
data_out_1[4],15.4
fifo2.mem\[0\]\[3\],15.38
fifo3.mem\[11\]\[7\],15.38
fifo1.mem\[4\]\[6\],15.34
fifo3.mem\[15\]\[5\],15.34
_0132_,15.305
_1877_,15.3
fifo2.mem\[15\]\[7\],15.24
_1510_,15.22
fifo3.mem\[0\]\[1\],15.22
fsm1.present_state\[4\],15.22
regis.packet_parity\[5\],15.22
_1402_,15.18
net76,15.18
net303,15.16
_1164_,15.12
fifo3.mem\[2\]\[3\],15.1
_1865_,15.04
fifo1.temp,15.02
net194,15.02
_0296_,14.965
fifo1.mem\[2\]\[5\],14.94
_0234_,14.925
_1476_,14.92
net253,14.92
_0375_,14.905
_0647_,14.9
fifo2.mem\[5\]\[6\],14.9
fifo2.mem\[6\]\[3\],14.9
net22,14.88
fifo1.mem\[7\]\[5\],14.86
_0188_,14.845
_1607_,14.82
_1260_,14.8
net98,14.8
_1926_,14.78
_2045_,14.78
fifo1.mem\[4\]\[0\],14.78
_2060_,14.76
fifo1.mem\[0\]\[5\],14.76
fifo3.mem\[5\]\[0\],14.76
_1409_,14.74
net232,14.72
_1246_,14.7
_1571_,14.68
fifo1.mem\[15\]\[2\],14.68
regis.fifo_full_state\[4\],14.64
_0548_,14.585
_1036_,14.54
fifo2.mem\[10\]\[1\],14.53
fifo1.mem\[2\]\[1\],14.525
